entry_date,exit_date,entry_price,exit_price,trade_return,hold_days,exit_reason,strategy,symbol
2021-02-25,2021-03-11,117.8437271118164,118.78849029541016,0.008017085056188922,10,max_hold,RSI14_Stocks,AAPL
2021-03-08,2021-03-22,157.49000549316406,163.0,0.03498631223982729,10,max_hold,RSI14_Stocks,GLD
2021-03-08,2021-03-22,106.97161102294922,107.42094421386719,0.004200490079761199,10,max_hold,RSI14_Stocks,LQD
2021-03-12,2021-03-26,116.23451232910156,116.74710083007812,0.004409950975018839,10,max_hold,RSI14_Stocks,TLT
2021-05-10,2021-05-24,18.469999313354492,21.219999313354492,0.14889009757632476,10,max_hold,RSI14_Stocks,PLTR
2021-05-10,2021-05-24,102.27567291259766,106.94781494140625,0.04568185078382525,10,max_hold,RSI14_Stocks,ARKK
2021-05-12,2021-05-25,39.43944549560547,41.19805908203125,0.04459022088993958,9,rsi_exit,RSI14_Stocks,FXI
2021-06-18,2021-06-24,37.408199310302734,40.48149490356445,0.08215566773927252,4,rsi_exit,RSI14_Stocks,WFC
2021-06-18,2021-06-25,32.456214904785156,34.15713119506836,0.052406489643757936,5,rsi_exit,RSI14_Stocks,XLF
2021-06-17,2021-07-01,31.031394958496094,33.02363586425781,0.06420081689612411,10,max_hold,RSI14_Stocks,COPX
2021-06-17,2021-07-01,165.85000610351562,166.1999969482422,0.0021102853894869877,10,max_hold,RSI14_Stocks,GLD
2021-06-18,2021-07-02,76.03609466552734,76.10053253173828,0.0008474641746711864,10,max_hold,RSI14_Stocks,SHY
2021-07-08,2021-07-22,38.440608978271484,39.31833267211914,0.02283324112642937,10,max_hold,RSI14_Stocks,FXI
2021-07-19,2021-07-29,199.78207397460938,209.96319580078125,0.050961137922043154,8,rsi_exit,RSI14_Stocks,IWM
2021-07-19,2021-08-02,19.843955993652344,20.714452743530273,0.043867097374957975,10,max_hold,RSI14_Stocks,XLE
2021-07-26,2021-08-09,36.26422119140625,36.873252868652344,0.01679428531034932,10,max_hold,RSI14_Stocks,FXI
2021-07-27,2021-08-10,45.1064567565918,46.63472366333008,0.033881333552428616,10,max_hold,RSI14_Stocks,EEM
2021-08-09,2021-08-23,161.72000122070312,168.72999572753906,0.04334649056345996,10,rsi_exit,RSI14_Stocks,GLD
